"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",0.0427292621367297,7.89733033545432,0.215289754102799,0.833387775311787,0.950663915142731,-6.53701574466995
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.114299128458036,8.66351715583246,0.688789470673669,0.504887592896761,0.811496025117253,-6.31378139546256
"3","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.0212159606268543,8.78830145129257,0.131243181776691,0.897896407909555,0.970226951880047,-6.55251523596724
"4","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-1.40624459199353,5.09580817057072,-4.22711618247604,0.00134565017952228,0.0508567266584168,-0.921434099399615
"5","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.125835533545737,6.23830917614575,-0.680337236393083,0.510024974152691,0.814003206832865,-6.31970612600569
"6","17211286","Ly96","17087","lymphocyte antigen 96",-0.434692993124211,8.43903441373474,-1.0882202187921,0.299220693432345,0.658069403738962,-5.96133128794146
"7","17211396","Tmem14a","75712","transmembrane protein 14A",0.0132420114380647,3.49858401007631,0.046202217115019,0.963957577088385,0.987014349834673,-6.56056184029055
"8","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",0.048884264014676,4.86711900598082,0.131742662719244,0.897510259979831,0.970067718556015,-6.55244524011616
"9","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.129599948107433,8.60090331368295,-0.972978826663451,0.350983330842979,0.702044247218967,-6.07694514737455
"10","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.383460267972159,4.54839030979131,1.83221690772649,0.0934522385384308,0.407708144183498,-4.99782271962268
"11","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",0.0769483792633983,7.28708916065476,0.448627011787497,0.662203656529141,0.887042776824504,-6.45525096695397
"12","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.58726673899247,7.71911374788877,2.84300449497273,0.0156514934778859,0.178003253121786,-3.33011727889379
"13","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.430033984908271,4.73780688747631,0.894339729946171,0.389839088493643,0.734963192685107,-6.14957148642107
"14","17211822","Cnnm4","94220","cyclin M4",-0.133966952573488,4.97763894160967,-0.587086204964353,0.568719767188798,0.84397681777391,-6.38056001919727
"15","17211832","Cnnm3","94218","cyclin M3",0.221018656849304,5.67686230727688,1.45983748449355,0.171639779815025,0.528505601699564,-5.5218283617014
"16","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",-0.356447537373925,4.91606663458306,-1.47532626479588,0.167505693581507,0.523231114586773,-5.50153384288116
"17","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.396908264460199,2.09012022973523,1.19422530577846,0.256918172939902,0.617901229851702,-5.84586136292595
"18","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",0.25512150553708,2.75015709477082,1.09309176086653,0.297166520686117,0.656572989099928,-5.95621196944092
"19","17211990","Lipt1","623661","lipoyltransferase 1",-0.240258799212924,5.84482574712625,-1.23837324608504,0.240751170319395,0.597271717182683,-5.7953266851741
"20","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.0612411301885807,6.16688809896978,-0.411808446734783,0.688203109792592,0.89575399188931,-6.47187967321337
"21","17212087","Npas2","18143","neuronal PAS domain protein 2",0.00149726118462556,4.33277556010315,0.00689484353726043,0.994619284685162,0.997383795402706,-6.56167562546897
"22","17212174","Il1r2","16178","interleukin 1 receptor, type II",-0.0657813778382956,3.56702957848417,-0.191296960013263,0.851695601533045,0.95642787784693,-6.54220263932407
"23","17212185","Il1r1","16177","interleukin 1 receptor, type I",-0.0252027721000809,6.86150618329913,-0.072396454819066,0.943555214630737,0.982556160690034,-6.55890438998183
"24","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",0.216904232901798,5.21823996002505,0.942117683914365,0.365888319681101,0.713566622366423,-6.1060681540912
"25","17212286","Slc9a2","226999","solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.238232278998694,1.9476399382376,0.793526133494222,0.443856863690538,0.774030125413715,-6.23486606249272
"26","17212346","AI597479","98404","expressed sequence AI597479",0.110192902646189,5.5604986102752,0.542340956922881,0.598143461508914,0.854474083014942,-6.40677372199176
"27","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.782972059945328,5.52673842991199,3.54686003881157,0.0044126637497686,0.0887858378617233,-2.09519532342795
"28","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",1.12457740184422,7.00548027375822,5.34928528902423,0.000215400278999987,0.0202719456123375,0.894528099275371
"29","17212792","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",-0.00533573304548263,8.83186523049355,-0.0246210790265071,0.980787730962487,0.992902466468894,-6.5613774763787
"30","17212813","Mstn","17700","myostatin",0.132868509355255,2.15879104818128,0.145266100201459,0.887066147147071,0.967482424037974,-6.55044940083684
"31","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",0.177711708984543,5.85487693441151,1.07489388716203,0.304894989641471,0.659889564005186,-5.97524109397439
"32","17212874","Coq10b","67876","coenzyme Q10B",-0.514460739595757,8.91581651838081,-2.74503442501762,0.0186827863611798,0.193202437597774,-3.50041623160716
"33","17212882","Hspe1","15528","heat shock protein 1 (chaperonin 10)",0.223755589876994,7.61255275646048,1.44882180654677,0.174632511122267,0.530624540953774,-5.53617392663475
"34","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",-0.260842522590816,5.59491113774423,-1.17508680470334,0.264188152625116,0.624104401039495,-5.86732993497265
"35","17212982","Aox1","11761","aldehyde oxidase 1",-0.661314800931867,7.21162390743395,-3.06967754564604,0.0103902299016364,0.142316881399175,-2.93337451998987
"36","17213139","Bzw1","66882","basic leucine zipper and W2 domains 1",-0.184782694069382,9.84457965499911,-1.11888130093568,0.286470382676938,0.646872742148033,-5.92880576645534
"37","17213213","Casp8","12370","caspase 8",0.320837329805675,8.58499180193764,2.00609162089633,0.0694502017725844,0.364903216576142,-4.73116586599603
"38","17213226","Stradb","227154","STE20-related kinase adaptor beta",0.147691438445408,6.72797226275894,0.848693349297685,0.413714325189378,0.752528037808919,-6.1892996136682
"39","17213295","Nop58","55989","NOP58 ribonucleoprotein",-0.332825532911717,6.44608822150627,-1.00181464726962,0.337456666007365,0.693271224778976,-6.04902092432123
"40","17213349","Carf","241066","calcium response factor",0.248988543592222,5.37066272370369,1.44492883670507,0.175700689395575,0.532029990409216,-5.54122606105929
"41","17213446","Abi2","329165","abl interactor 2",0.0418029110113771,6.28003503142811,0.26556653368684,0.795367983905625,0.940074500833859,-6.52418083957069
"42","17213598","Zdbf2","73884","zinc finger, DBF-type containing 2",0.271337781820897,3.0664202706592,1.24875510580281,0.237069931462507,0.594969053799452,-5.78324113110331
"43","17213645","Fastkd2","75619","FAST kinase domains 2",-0.447325271059964,4.7632131994514,-1.84249266462314,0.0918452039229835,0.406144184341667,-4.9824053092321
"44","17213687","Ccnyl1","227210","cyclin Y-like 1",0.102092657191761,6.65799774314059,0.558231467277041,0.587604219374981,0.849521957396683,-6.39768901028912
"45","17213770","Map2","17756","microtubule-associated protein 2",0.111459120766184,3.81583346282423,0.687316670781989,0.50578054378538,0.811496025117253,-6.31481861084465
"46","17213990","Atic","108147","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",-0.123057258874291,7.74867360180009,-0.747107811547999,0.470298012504853,0.790461691859687,-6.27108527330505
"47","17214053","Xrcc5","22596","X-ray repair complementing defective repair in Chinese hamster cells 5",-0.255388085246551,4.96631714255481,-1.48433363926508,0.165140855026458,0.519179358340186,-5.48966586223549
"48","17214100","Rpl37a","19981","ribosomal protein L37a",-0.37686720816792,2.15554826579991,-1.90791360361585,0.0821927579660828,0.392609086702428,-4.88320883501552
"49","17214126","Rufy4","435626","RUN and FYVE domain containing 4",0.955421102294454,4.3184574244939,3.79591143479485,0.00284082352424727,0.0702101119590978,-1.66098664616166
"50","17214142","Cxcr2","12765","chemokine (C-X-C motif) receptor 2",0.891900076193475,2.76993714681856,1.69530225653751,0.11743596285714,0.443524972386983,-5.19869521993861
"51","17214162","Gpbar1","227289","G protein-coupled bile acid receptor 1",-0.442937605993227,2.84553041153701,-1.87687715542149,0.0866496042308746,0.401588912380582,-4.93048969166604
"52","17214166","Pnkd","56695","paroxysmal nonkinesiogenic dyskinesia",0.0531736687983084,7.77933165269726,0.314481269596354,0.758900534943178,0.928108371036786,-6.50915330940306
"53","17214197","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",0.85897815463569,6.03639857581216,2.74020266968309,0.0188465240436301,0.193267957459722,-3.5087900664387
"54","17214341","Ttll4","67534","tubulin tyrosine ligase-like family, member 4",0.255994103262808,6.00850091562622,1.07639613320108,0.30425130318081,0.659808118820727,-5.97368000564304
"55","17214449","Stk16","20872","serine/threonine kinase 16",-0.256525269935279,8.46608669218952,-1.29473485297212,0.221307705041577,0.579762748996478,-5.72881256139853
"56","17214462","Dnajb2","56812","DnaJ heat shock protein family (Hsp40) member B2",0.0526201515730955,6.08945985044555,0.261619171197213,0.798334523814273,0.94063634497938,-6.52528453375835
"57","17214476","Des","13346","desmin",0.371013495247716,9.61990027660164,1.06072701096928,0.311015835372893,0.666746522573248,-5.98987580112788
"58","17214487","Speg","11790","SPEG complex locus",0.563220741606326,4.52153090628605,1.86000931231757,0.0891638084860022,0.405195344638491,-4.95601987918963
"59","17214672","Mogat1","68393","monoacylglycerol O-acyltransferase 1",-0.953416490155576,3.45870985550338,-4.32053359612016,0.00114786300153874,0.0488889095910843,-0.763819520145054
"60","17214711","Kcne4","57814","potassium voltage-gated channel, Isk-related subfamily, gene 4",-0.0338128408907958,4.58602302577869,-0.117148998974352,0.908803558355828,0.973972900265634,-6.5543810573947
"61","17214759","Rhbdd1","76867","rhomboid domain containing 1",0.0849717047179785,7.24129383731195,0.496728396389256,0.628926914406746,0.871269835129003,-6.43146409993213
"62","17214841","Agfg1","15463","ArfGAP with FG repeats 1",-0.101625685232804,9.42434540636994,-0.666158257168413,0.518712653074811,0.81924309094438,-6.32949386775764
"63","17214857","Ccl20","20297","chemokine (C-C motif) ligand 20",-0.484335099793482,2.1736724271259,-1.66889533751322,0.122650951545745,0.450105850483914,-5.23640834112508
"64","17214924","Sp140","434484","Sp140 nuclear body protein",0.597129215235281,3.27556961751181,1.25595957596037,0.234542021787335,0.594601430144509,-5.77480983389351
"65","17215222","Eif4e2","26987","eukaryotic translation initiation factor 4E member 2",-0.0480035557210359,8.0508577247705,-0.319272642381367,0.755359375380611,0.927890186591563,-6.50754728393373
"66","17215309","Inpp5d","16331","inositol polyphosphate-5-phosphatase D",0.735932458931092,5.66510130482853,4.14588300516338,0.00154650324592534,0.0533955410649371,-1.05930710388919
"67","17215395","Dgkd","227333","diacylglycerol kinase, delta",0.0507846853164313,8.5124086111605,0.235055947302527,0.818381419147861,0.946157238107345,-6.53228665610343
"68","17215605","Ackr3","12778","atypical chemokine receptor 3",-1.2583745600563,7.85763254862178,-6.76752495119295,2.73204895571964e-05,0.00613134832947082,2.92055167355824
"69","17215612","Cops8","108679","COP9 signalosome subunit 8",-0.0342241866896504,8.00583417690703,-0.241769158233411,0.813301641467481,0.944581582294833,-6.53058699966389
"70","17215647","Prlh","623503","prolactin releasing hormone",-0.374425752176613,2.54260168006362,-1.32175108741744,0.212451234662454,0.568648144153861,-5.69615745169785
"71","17215650","Lrrfip1","16978","leucine rich repeat (in FLII) interacting protein 1",0.476076975373474,5.17670985314756,2.23866189299587,0.0462601121403931,0.305642410960925,-4.35786330635108
"72","17215697","Ramp1","51801","receptor (calcitonin) activity modifying protein 1",0.296911156174505,2.60324826302401,0.88390916812972,0.395209346740575,0.738277692834514,-6.15880914623549
